what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100304,"org.eclipse.core.filesystem",1271075034943
started,bundle,org.eclipse.core.jobs,3.5.0.v20100304,"org.eclipse.core.jobs",1271075034944
started,bundle,org.eclipse.core.net,1.2.100.I20091117-0800,"org.eclipse.core.net",1271075034944
started,bundle,org.eclipse.core.resources,3.6.0.v20100310-1650,"org.eclipse.core.resources",1271075034944
started,bundle,org.eclipse.core.runtime,3.6.0.v20091204,"org.eclipse.core.runtime",1271075034945
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1271075034945
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1271075034946
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1271075034946
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1271075034946
started,bundle,org.eclipse.equinox.app,1.3.0.v20100304,"org.eclipse.equinox.app",1271075034947
started,bundle,org.eclipse.equinox.common,3.6.0.v20100222,"org.eclipse.equinox.common",1271075034947
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100301,"org.eclipse.equinox.ds",1271075034947
started,bundle,org.eclipse.equinox.event,1.2.0.v20100108,"org.eclipse.equinox.event",1271075034948
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100304,"org.eclipse.equinox.p2.core",1271075034948
started,bundle,org.eclipse.equinox.p2.director,2.0.0.v20100311-1335,"org.eclipse.equinox.p2.director",1271075034949
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20100309-0005,"org.eclipse.equinox.p2.directorywatcher",1271075034949
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100311-1335,"org.eclipse.equinox.p2.engine",1271075034949
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100311-1843,"org.eclipse.equinox.p2.metadata",1271075034950
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100310-1731,"org.eclipse.equinox.p2.metadata.repository",1271075034950
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100309-0005,"org.eclipse.equinox.p2.operations",1271075034951
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100310-1731,"org.eclipse.equinox.p2.reconciler.dropins",1271075034951
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100310-1731,"org.eclipse.equinox.p2.repository",1271075034951
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100309-0005,"org.eclipse.equinox.p2.ui.sdk.scheduler",1271075034952
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20100309-0005,"org.eclipse.equinox.p2.updatechecker",1271075034952
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100307,"org.eclipse.equinox.preferences",1271075034952
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100301,"org.eclipse.equinox.registry",1271075034953
started,bundle,org.eclipse.equinox.security,1.0.200.v20100301,"org.eclipse.equinox.security",1271075034954
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1271075034954
started,bundle,org.eclipse.help,3.5.0.v20100304,"org.eclipse.help",1271075034954
started,bundle,org.eclipse.jface,3.6.0.I20100305-0800,"org.eclipse.jface",1271075034955
started,bundle,org.eclipse.jsch.core,1.1.100.I20100112-0800,"org.eclipse.jsch.core",1271075034955
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.bugzilla.core",1271075034955
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.bugzilla.ui",1271075034956
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1271075034956
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.commons.ui",1271075034956
started,bundle,org.eclipse.mylyn.context.core,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.core",1271075034957
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.context.ui",1271075034957
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.monitor.ui",1271075034958
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.tasks.ui",1271075034958
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.I20100316-2000-e3x,"org.eclipse.mylyn.team.ui",1271075034959
started,bundle,org.eclipse.team.core,3.5.100.I20100311-1214,"org.eclipse.team.core",1271075034959
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20100310-0800,"org.eclipse.team.cvs.core",1271075034960
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100311-1214,"org.eclipse.team.cvs.ui",1271075034960
started,bundle,org.eclipse.team.ui,3.5.100.I20100310-0800,"org.eclipse.team.ui",1271075034961
started,bundle,org.eclipse.ui,3.6.0.I20100311-1200,"org.eclipse.ui",1271075034962
started,bundle,org.eclipse.ui.console,3.5.0.v20100104,"org.eclipse.ui.console",1271075034962
